Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADSK,Autodesk Inc. Common Stock,$274.14,-2.56,-0.925%,60303512536.00,United States,,418607,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Inc. Common Stock,$20.96,-0.18,-0.851%,1020332569.00,United States,1994,71629,Capital Goods,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,$0.8346,0.0076,0.919%,36309228.00,United States,2020,427764,Consumer Durables,Specialty Chemicals
ADUS,Addus HomeCare Corporation Common Stock,$92.93,0.74,0.803%,1480134304.00,United States,2009,7240,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,$7.665,0.115,1.523%,2441866383.00,United States,2019,116389,Technology,Advertising
ADVM,Adverum Biotechnologies Inc. Common Stock,$1.88,0.12,6.818%,184525929.00,United States,2014,408492,Health Care,Biotechnology: Pharmaceutical Preparations
ADVWW,Advantage Solutions Inc. Warrant,$2.10,0.04,1.942%,0.00,United States,2019,100,Technology,Advertising
ADXN,Addex Therapeutics Ltd American Depositary Shares,$6.525,0.115,1.794%,37139191.00,Switzerland,,1474,Health Care,Biotechnology: Pharmaceutical Preparations
ADXS,Advaxis Inc. Common Stock,$0.3515,-0.0029,-0.818%,51191918.00,United States,,760058,Health Care,Biotechnology: Pharmaceutical Preparations
AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$9.77,-0.02,-0.204%,293100000.00,United States,2021,2900,Finance,Business Services
AEACU,Authentic Equity Acquisition Corp. Unit,$10.0685,0.00,0.00%,0.00,United States,2021,1,Finance,Business Services
AEACW,Authentic Equity Acquisition Corp. Warrant,$0.6488,0.0088,1.375%,0.00,United States,2021,5016,Finance,Business Services
AEAEU,AltEnergy Acquisition Corp. Unit,$10.10,0.02,0.198%,0.00,United States,2021,4137,,
AEHA,Aesther Healthcare Acquisition Corp Class A Common Stock,$9.97,0.00,0.00%,131853250.00,United States,2021,1,,
AEHL,Antelope Enterprise Holdings Limited Common Stock (0.024 par),$1.91,0.06,3.243%,11334803.00,China,,63038,Capital Goods,Building Products
AEHR,Aehr Test Systems Common Stock,$16.692,0.792,4.981%,443290529.00,United States,1997,333064,Capital Goods,Electrical Products
AEI,Alset EHome International Inc. Common Stock,$0.6227,0.0039,0.63%,28470952.00,United States,2020,1297508,Consumer Services,Building operators
AEIS,Advanced Energy Industries Inc. Common Stock,$93.92,1.45,1.568%,3537932119.00,United States,1995,34908,Consumer Durables,Electrical Products
AEMD,Aethlon Medical Inc. Common Stock,$2.32,0.03,1.31%,35721734.00,United States,,28619,Miscellaneous,Diversified Commercial Services
AEP,American Electric Power Company Inc. Common Stock,$83.59,-0.32,-0.381%,41493201147.00,United States,,439998,Public Utilities,Electric Utilities: Central
